titulo,link,data,Is_Edital,Campus_Citado,Topico_Classificado
Campus Pedro II divulga preliminar em seleção de monitores,https://www.ifpi.edu.br/pedroii/noticias/campus-pedro-ii-divulga-preliminar-em-selecao-de-monitores,17/10/2025,True,Não Mapeado,Outros/Geral
IFPI divulga resultado final do Programa Bolsa Permanência,https://www.ifpi.edu.br/noticias/ifpi-divulga-resultado-final-do-programa-bolsa-permanencia,17/10/2025,True,IFPI - Geral,Assistência Estudantil
IFPI seleciona supervisor de Química para o PIBID,https://www.ifpi.edu.br/paulistana/noticias/ifpi-seleciona-supervisor-de-quimica-para-o-pibid,16/10/2025,True,IFPI - Geral,Assistência Estudantil
Teresina Zona Sul divulga resultados de Chamada Pública para cursos técnicos,https://www.ifpi.edu.br/teresinazonasul/noticias/teresina-zona-sul-divulga-resultados-de-chamada-publica-para-cursos-tecnicos-1,16/10/2025,True,IFPI - Campus Teresina Zona Sul,Ensino e Cursos
Lei de apoio à alimentação escolar na Rede Federal é aprovada pelo Congresso Nacional,https://www.ifpi.edu.br/noticias/lei-de-apoio-a-alimentacao-escolar-na-rede-federal-e-aprovada-pelo-congresso-nacional,16/10/2025,False,IFPI - Campus Pedro II,Concursos e Seleção de Servidores
IFPI inaugura laboratório de informática de alto desempenho do projeto Embarcatech,https://www.ifpi.edu.br/noticias/ifpi-inaugura-laboratorio-de-informatica-de-alto-desempenho-do-projeto-embarcatech,16/10/2025,False,IFPI - Geral,Pesquisa e Inovação
IFPI é a segunda instituição de ensino da américa latina a assinar convênio com Extreme Networks,https://www.ifpi.edu.br/noticias/ifpi-e-a-segunda-instituicao-de-ensino-da-america-latina-a-assinar-convenio-com-extreme-networks,16/10/2025,False,IFPI - Geral,Concursos e Seleção de Servidores
Cocal homologa inscrições para curso de Inglês,https://www.ifpi.edu.br/cocal/noticias/cocal-homologa-inscricoes-para-curso-de-ingles,16/10/2025,True,IFPI - Campus Cocal,Outros/Geral
IFPI divulga vídeo sobre PDI 2025-2029,https://www.ifpi.edu.br/noticias/ifpi-divulga-video-sobre-pdi-2025-2029,15/10/2025,True,IFPI - Geral,Outros/Geral
IFPI participa de homenagem ao Dia do Técnico Industrial,https://www.ifpi.edu.br/teresinacentral/noticias/ifpi-participa-de-homenagem-ao-dia-do-tecnico-industrial,15/10/2025,False,IFPI - Geral,Concursos e Seleção de Servidores
Professor do IFPI participa de reunião para criação do Guia Internacional da Opala,https://www.ifpi.edu.br/noticias/professor-do-ifpi-participa-de-reuniao-para-criacao-do-guia-internacional-da-opala,15/10/2025,False,IFPI - Geral,Concursos e Seleção de Servidores
Professor do Campus Floriano apresenta trabalhos em evento nacional de Engenharia,https://www.ifpi.edu.br/floriano/noticias/professor-do-campus-floriano-apresenta-trabalhos-em-evento-nacional-de-engenharia,15/10/2025,False,IFPI - Campus Floriano,Concursos e Seleção de Servidores
Corrente divulga aprovados para estágio curricular,https://www.ifpi.edu.br/corrente/noticias/corrente-divulga-aprovados-para-estagio-curricular,15/10/2025,True,Não Mapeado,Ensino e Cursos
Valença oferta bolsa de monitoria remunerada,https://www.ifpi.edu.br/valenca/noticias/valenca-oferta-bolsa-de-monitoria-remunerada,15/10/2025,True,IFPI - Campus Valença,Assistência Estudantil
Professor de Parnaíba apresenta pesquisas em Congresso Barsileiro de Eletrônica,https://www.ifpi.edu.br/parnaiba/noticias/professor-de-parnaiba-apresenta-pesquisas-em-congresso-barsileiro-de-eletonica,15/10/2025,False,IFPI - Campus Parnaíba,Concursos e Seleção de Servidores
Semarh e Campus São João  firmam parceria para instalação de estação agrometeorológica,https://www.ifpi.edu.br/saojoao/noticias/semarh-e-campus-sao-joao-firmam-parceria-para-instalacao-de-estacao-agrometeorologica,15/10/2025,False,IFPI - Campus São João,Ensino e Cursos
IFPI seleciona novos membros da Comissão de Ética Institucional,https://www.ifpi.edu.br/noticias/ifpi-seleciona-novos-membros-da-comissao-de-etica-institucional,15/10/2025,True,IFPI - Geral,Concursos e Seleção de Servidores
Polo de Inovação do IFPI sedia reunião do Colégio de Dirigentes,https://www.ifpi.edu.br/noticias/polo-de-inovacao-do-ifpi-sedia-reuniao-do-colegio-de-dirigentes,15/10/2025,False,IFPI - Geral,Pesquisa e Inovação
Teresina Central oferece preparatório para o Enade,https://www.ifpi.edu.br/teresinacentral/noticias/teresina-central-oferece-preparatorio-para-o-enade,15/10/2025,False,IFPI - Campus Teresina Central,Concursos e Seleção de Servidores
Angical oferta vagas para estágio curricular obrigatório,https://www.ifpi.edu.br/angical/noticias/angical-oferta-vagas-para-estagio-curricular-obrigatorio,14/10/2025,True,Não Mapeado,Ensino e Cursos
Valença divulga aprovados para estágio curricular,https://www.ifpi.edu.br/valenca/noticias/valenca-divulga-aprovados-para-estagio-curricular,14/10/2025,False,IFPI - Campus Valença,Ensino e Cursos
IFPI homologa inscrições para Mestrado em Ensino de Física,https://www.ifpi.edu.br/noticias/ifpi-homologa-inscricoes-para-mestrado-em-ensino-de-fisica,14/10/2025,True,IFPI - Geral,Pós-Graduação
IFPI lança edição 2025 do projeto Repensar,https://www.ifpi.edu.br/noticias/ifpi-lanca-projeto-repensar-2025,14/10/2025,False,IFPI - Geral,Concursos e Seleção de Servidores
Teresina Central realiza palestras sobre saúde mental,https://www.ifpi.edu.br/teresinacentral/noticias/teresina-central-tera-palestra-sobre-saude-mental,14/10/2025,False,IFPI - Campus Teresina Central,Extensão e Cultura
IFPI realiza solenidade de colação de grau extemporânea,https://www.ifpi.edu.br/noticias/ifpi-realiza-solenidade-de-colacao-de-grau-extemporanea-2,14/10/2025,False,IFPI - Geral,Concursos e Seleção de Servidores
Campus Pedro II convoca para entrevistas em Seleção de Monitores,https://www.ifpi.edu.br/pedroii/noticias/campus-pedro-ii-convoca-para-entrevistas-em-selecao-de-monitores,14/10/2025,True,Não Mapeado,Outros/Geral
Cocal homologa inscrições para monitorias,https://www.ifpi.edu.br/cocal/noticias/cocal-homologa-inscricoes-para-monitorias,14/10/2025,True,Não Mapeado,Pesquisa e Inovação
Angical seleciona professor substituto de Informática,https://www.ifpi.edu.br/angical/noticias/angical-seleciona-professor-substituto-de-informatica,14/10/2025,True,Não Mapeado,Concursos e Seleção de Servidores
IFPI faz comunicado sobre exame para Mestrado Profissional em Matemática,https://www.ifpi.edu.br/floriano/noticias/ifpi-faz-comunicado-sobre-exame-para-mestrado-profissional-em-matematica,14/10/2025,True,IFPI - Geral,Pós-Graduação
